player_id,matches_played,starts,minutes_played,goals,assists,yellow_cards,red_cards
2123,30,21,1723,0,0,2,0
2124,36,33,2850,10,1,4,0
2125,22,21,1913,2,0,2,0
2126,34,25,1934,4,7,11,0
2127,1,0,4,0,0,0,0
2128,28,11,1227,2,1,7,0
2129,2,0,16,0,0,0,0
2130,9,8,736,0,0,0,0
2131,30,24,1902,11,4,3,0
2132,21,13,1178,2,2,6,2
2133,2,0,48,0,0,0,0
2134,20,19,1603,6,0,1,0
2135,37,34,2804,3,4,3,0
2136,1,0,1,0,0,0,0
2137,19,14,1292,0,0,3,1
2138,28,28,2520,0,0,2,0
2139,31,20,1970,2,3,3,0
2140,33,28,2610,2,6,5,0
2141,27,6,779,1,2,4,0
2142,14,7,714,0,0,1,0
2143,5,4,387,0,0,0,0
2144,10,2,273,0,0,1,0
2145,22,2,378,2,0,1,0
2146,30,21,1715,1,0,7,0
2147,23,19,1566,0,1,1,0
2148,12,8,570,0,0,1,0
2149,24,3,456,2,0,4,0
2150,5,1,121,0,0,1,0
2151,2,2,174,0,0,0,0
2152,29,29,2610,0,0,0,0
2153,5,2,161,0,0,0,0
2154,35,35,2974,12,4,8,0
2155,10,5,396,0,1,0,0
2156,1,0,7,0,0,0,0
2157,34,29,2478,11,9,1,0
2158,13,4,495,0,0,2,0
2159,27,17,1747,2,2,8,0
2160,29,24,1879,8,6,6,0
2161,29,27,2485,9,4,4,0
2162,15,15,1350,0,0,1,0
2163,18,14,1058,0,0,4,0
2164,2,1,145,0,0,0,0
2165,1,1,90,0,0,0,0
2166,36,36,3207,2,0,7,1
2167,9,0,94,0,0,0,0
2168,29,21,1807,1,1,4,0
2169,19,2,478,0,0,2,1
2170,31,25,2034,9,3,6,0
2171,3,2,204,1,0,1,0
2172,22,12,1066,10,3,1,0
2173,30,30,2700,0,0,2,0
2174,29,19,1623,1,3,4,1
2175,35,34,2981,0,3,7,0
2176,2,0,20,0,0,1,0
2177,29,14,1318,0,3,1,2
2178,36,32,2839,18,9,4,0
2179,15,12,978,4,1,2,0
2180,10,4,444,2,2,0,0
2181,26,11,1103,6,1,1,0
2182,35,34,3065,2,3,5,0
2183,32,5,750,4,0,1,0
2184,22,21,1783,1,5,5,0
2185,12,11,1056,0,0,0,0
2186,13,7,724,1,0,3,0
2187,38,38,3420,0,0,3,0
2188,8,4,385,0,0,1,0
2189,27,7,788,1,0,3,2
2190,12,0,108,0,0,2,0
2191,1,0,1,0,0,0,0
2192,4,1,196,0,0,2,0
2193,37,36,3128,10,4,2,1
2194,12,12,1034,0,0,0,1
2195,1,0,1,0,0,0,0
2196,27,21,1830,2,1,1,0
2197,32,26,2417,0,1,11,0
2198,36,36,3240,0,0,0,0
2199,14,5,469,0,1,0,0
2200,1,0,10,0,0,0,0
